Episode 267 | Reward 35.10 | Avg Loss 0.0158 | Epsilon 0.585
Episode 268 | Reward 34.79 | Avg Loss 0.0152 | Epsilon 0.584
Episode 269 | Reward 25.72 | Avg Loss 0.0154 | Epsilon 0.582
Episode 270 | Reward 34.43 | Avg Loss 0.0158 | Epsilon 0.581
Episode 271 | Reward 41.46 | Avg Loss 0.0185 | Epsilon 0.580
Episode 272 | Reward 38.72 | Avg Loss 0.0178 | Epsilon 0.579
Episode 273 | Reward 28.26 | Avg Loss 0.0168 | Epsilon 0.578
Episode 274 | Reward 26.62 | Avg Loss 0.0174 | Epsilon 0.577
Episode 275 | Reward 39.50 | Avg Loss 0.0165 | Epsilon 0.575
Episode 276 | Reward 39.01 | Avg Loss 0.0176 | Epsilon 0.574
Episode 277 | Reward 39.66 | Avg Loss 0.0165 | Epsilon 0.573
Episode 278 | Reward 35.00 | Avg Loss 0.0165 | Epsilon 0.572
Episode 279 | Reward 34.08 | Avg Loss 0.0170 | Epsilon 0.571
Episode 280 | Reward 36.10 | Avg Loss 0.0172 | Epsilon 0.570
Episode 281 | Reward 35.94 | Avg Loss 0.0182 | Epsilon 0.569
Episode 282 | Reward 35.87 | Avg Loss 0.0164 | Epsilon 0.567
Episode 283 | Reward 39.46 | Avg Loss 0.0162 | Epsilon 0.566
Episode 284 | Reward 33.44 | Avg Loss 0.0180 | Epsilon 0.565
Episode 285 | Reward 26.51 | Avg Loss 0.0167 | Epsilon 0.564
Episode 286 | Reward 40.20 | Avg Loss 0.0177 | Epsilon 0.563
Episode 287 | Reward 40.63 | Avg Loss 0.0174 | Epsilon 0.562
Episode 288 | Reward 40.09 | Avg Loss 0.0172 | Epsilon 0.561
Episode 289 | Reward 40.59 | Avg Loss 0.0173 | Epsilon 0.560
Episode 290 | Reward 31.44 | Avg Loss 0.0170 | Epsilon 0.558
Episode 291 | Reward 36.17 | Avg Loss 0.0180 | Epsilon 0.557
Episode 292 | Reward 35.30 | Avg Loss 0.0179 | Epsilon 0.556
Episode 293 | Reward 30.73 | Avg Loss 0.0187 | Epsilon 0.555
Episode 294 | Reward 33.98 | Avg Loss 0.0183 | Epsilon 0.554
Episode 295 | Reward 33.88 | Avg Loss 0.0186 | Epsilon 0.553
Episode 296 | Reward 37.21 | Avg Loss 0.0175 | Epsilon 0.552
Episode 297 | Reward 38.41 | Avg Loss 0.0190 | Epsilon 0.551
Episode 298 | Reward 33.03 | Avg Loss 0.0173 | Epsilon 0.550
Episode 299 | Reward 37.68 | Avg Loss 0.0185 | Epsilon 0.548
Episode 300 | Reward 32.21 | Avg Loss 0.0177 | Epsilon 0.547
Episode 301 | Reward 28.14 | Avg Loss 0.0192 | Epsilon 0.546
Episode 302 | Reward 38.51 | Avg Loss 0.0173 | Epsilon 0.545
Episode 303 | Reward 34.29 | Avg Loss 0.0167 | Epsilon 0.544
Episode 304 | Reward 40.21 | Avg Loss 0.0167 | Epsilon 0.543
Episode 305 | Reward 40.73 | Avg Loss 0.0181 | Epsilon 0.542
Episode 306 | Reward 39.57 | Avg Loss 0.0182 | Epsilon 0.541
Episode 307 | Reward 38.56 | Avg Loss 0.0180 | Epsilon 0.540
Episode 308 | Reward 43.00 | Avg Loss 0.0172 | Epsilon 0.539
Episode 309 | Reward 33.34 | Avg Loss 0.0174 | Epsilon 0.538
Episode 310 | Reward 39.02 | Avg Loss 0.0179 | Epsilon 0.537
Episode 311 | Reward 38.12 | Avg Loss 0.0189 | Epsilon 0.535
Episode 312 | Reward 36.19 | Avg Loss 0.0182 | Epsilon 0.534
Episode 313 | Reward 35.70 | Avg Loss 0.0181 | Epsilon 0.533
Episode 314 | Reward 38.17 | Avg Loss 0.0172 | Epsilon 0.532
Episode 315 | Reward 41.24 | Avg Loss 0.0181 | Epsilon 0.531
Episode 316 | Reward 40.54 | Avg Loss 0.0175 | Epsilon 0.530
Episode 317 | Reward 41.21 | Avg Loss 0.0176 | Epsilon 0.529
Episode 318 | Reward 40.29 | Avg Loss 0.0170 | Epsilon 0.528
Episode 319 | Reward 41.31 | Avg Loss 0.0164 | Epsilon 0.527
Episode 320 | Reward 40.14 | Avg Loss 0.0176 | Epsilon 0.526
Episode 321 | Reward 37.61 | Avg Loss 0.0194 | Epsilon 0.525
Episode 322 | Reward 36.25 | Avg Loss 0.0183 | Epsilon 0.524
Episode 323 | Reward 43.21 | Avg Loss 0.0186 | Epsilon 0.523
Episode 324 | Reward 38.88 | Avg Loss 0.0179 | Epsilon 0.522
Episode 325 | Reward 37.40 | Avg Loss 0.0172 | Epsilon 0.521
Episode 326 | Reward 43.00 | Avg Loss 0.0197 | Epsilon 0.520
Episode 327 | Reward 39.13 | Avg Loss 0.0174 | Epsilon 0.519
Episode 328 | Reward 41.97 | Avg Loss 0.0173 | Epsilon 0.518
Episode 329 | Reward 38.33 | Avg Loss 0.0178 | Epsilon 0.517
Episode 330 | Reward 40.23 | Avg Loss 0.0175 | Epsilon 0.515
Episode 331 | Reward 41.39 | Avg Loss 0.0196 | Epsilon 0.514
Episode 332 | Reward 41.95 | Avg Loss 0.0173 | Epsilon 0.513
Episode 333 | Reward 38.23 | Avg Loss 0.0183 | Epsilon 0.512
Episode 334 | Reward 37.97 | Avg Loss 0.0184 | Epsilon 0.511
Episode 335 | Reward 38.65 | Avg Loss 0.0184 | Epsilon 0.510
Episode 336 | Reward 38.24 | Avg Loss 0.0173 | Epsilon 0.509
Episode 337 | Reward 41.55 | Avg Loss 0.0177 | Epsilon 0.508
Episode 338 | Reward 40.05 | Avg Loss 0.0175 | Epsilon 0.507
Episode 339 | Reward 38.39 | Avg Loss 0.0171 | Epsilon 0.506
Episode 340 | Reward 33.92 | Avg Loss 0.0186 | Epsilon 0.505
Episode 341 | Reward 40.58 | Avg Loss 0.0182 | Epsilon 0.504
